BAP_buy_guns_desc;We are tactically inferior to the Zulu, but we have the advantage of the Scots and their weaponry. It's clear that they want a weak Zululand, and a weak Zululand is what we'll give them, if they accept our offer.;;;;;;;;;
BAP_mercenaries_title;Hire Scottish Mercenaries;;;;;;;;;
BAP_mercenaries_desc;The Scottish are more experienced with their guns than we are. It's a great, yet expensive idea to hire their mercenaries as generals.;;;;;;;;;
PROV3590;Maybole;;;;;;;;;;;;
PROV3591;Neamhnaid;;;;;;;;;;;;#Khub
PROV3592;Gqeberha;;;;;;;;;;;;
PROV3593;Drummond;;;;;;;;;;;;
PROV3594;Tylerville;;;;;;;;;;;;
PROV3595;eNyathini;;;;;;;;;;;;
PROV3596;Crail;;;;;;;;;;;; #!Hana
KHB;Xirikwa;;;;;;;;;;;;
KHB_ADJ;Xirikwa;;;;;;;;;;;;
ORA;The Republic of Drummond;;;;;;;;;;;;
ORA_ADJ;Drummonder;;;;;;;;;;;;
ORA_hms_government;The Duchy of Drummond;;;;;;;;;;;
ORA_absolute_monarchy;The Duchy of Drummond;;;;;;;;;;;;
ORA_prussian_constitutionalism;The Duchy of Drummond;;;;;;;;;;;;
ORA_conservative;Free Republicans;;;;;;;;;;;;
ORA_liberal;Whig Party;;;;;;;;;;;;
ORA_reactionary;Drummond Statists;;;;;;;;;;;;
ORA_radical;Agricultural Interest Party;;;;;;;;;;;;
ORA_socialist;Drummond Farmer's Front;;;;;;;;;;;;
ORA_communist;Red Drummonders;;;;;;;;;;;;
ORA_fascist;Scots'Party;;;;;;;;;;;;
ORA_conservative_2;Scottish Conservatives;;;;;;;;;;;;
ORA_conservative_3;Heidtoun Unionists;;;;;;;;;;;;
ENG_2091;Transgorits;;;;;;;;;;;;
ENG_3592;Qariega;;;;;;;;;;;;
integrate_KHB_title;Integrate Xirikwa;;;;;;;;;;;;
integrate_KHB_desc;It is time for our subjects pass the folds to be integrated into our country proper.;;;;;;;;;;;;
rename_KHB_SCO_title;Rename Xirikwa;;;;;;;;;;;;
rename_KHB_SCO_desc;With our control of the lands of Xirikwa, we can name it accordingly.;;;;;;;;;;;;
rename_KHB_KHB_title;Rename Xirikwa;;;;;;;;;;;;
rename_KHB_KHB_desc;With our control of the lands of Xirikwa, we can name it accordingly.;;;;;;;;;;;;
ZUL_war_inform_title;The Coalition War;;;;;;;;;;;;
ZUL_war_inform_desc;The coalition war against the Zulu has started.;;;;;;;;;;;;
ZUL_war_inform_option1;To war!;;;;;;;;;;;;
ORA_vict_title;Victory in Qariega;;;;;;;;;;;;
ORA_vict_desc;We have managed to best the Xhosa in the short term, perhaps it would be best to bail out now and not risk furthur escalation.;;;;;;;;;;;;
ORA_vict_option1;Of course!;;;;;;;;;;;;
ORA_vict_option2;No, we will sieze this oppurtunity for complete victory!;;;;;;;;;;;;
XHO_vict_title;Victory in Drummond;;;;;;;;;;;;
XHO_vict_desc;We have managed to best Drummond in the short term, perhaps it would be best to bail out now and not risk furthur escalation.;;;;;;;;;;;;
XHO_vict_option1;Of course!;;;;;;;;;;;;
XHO_vict_option2;No, we will sieze this oppurtunity for complete victory!;;;;;;;;;;;;
ORA_start_title;The Republic of Drummond;;;;;;;;;;;;
ORA_start_desc;Our republic, born out of pioneers brave enough to venture into the unknown, brave enough to face the hardships of leaving what we know, into the isolation of our new home, brave enough to face those who might tread on our independence. Our border to the east has always been one of tension and unease, defined by the Great Kariega, but our hand has been forced, and to war we must go. It is of greatest importance to our survival that we beat the Xhosa and their heathen king, but under the leadership of our great president, Morven Stewart, we shall succeed.;;;;;;;;;;;;
ORA_start_option1;Long Live the Republic!;;;;;;;;;;;;
XHO_front_title;Total Victory in Drummond;;;;;;;;;;;;
XHO_front_desc;We have achieved total victory in Drummond. Now is the time for celebration!;;;;;;;;;;;;
XHO_front_option1;Hurrah!;;;;;;;;;;;;
ORA_front_title;Total Victory in Qariega;;;;;;;;;;;;
ORA_front_desc;We have achieved total victory in Qariega. Now is the time for celebration!;;;;;;;;;;;;
ORA_front_option1;Hurrah!;;;;;;;;;;;;
SCO_grow_title;The Drummonder Issue;;;;;;;;;;;;
SCO_grow_desc;The Drummonders' Republic is of our creation, and it is time for them to return. We must send an ultimatum to them, demanding annexation.;;;;;;;;;;;;
SCO_grow_option1;Right away!;;;;;;;;;;;;
SCO_grow_option2;Maybe not...;;;;;;;;;;;;
KHB_grow_title;Northward Expansion;;;;;;;;;;;;
KHB_grow_desc;We have consolidatedour strength, and now we are finally able to expand to our rightfull land in the north.;;;;;;;;;;;;
KHB_grow_option1;Yippee!;;;;;;;;;;;;
ORA_response_title;The Demands from Heidtoun;;;;;;;;;;;;
ORA_response_desc;The powers in Heidtoun have demanded our annexation to them. How should we respond!;;;;;;;;;;;;
ORA_response_option1;Of course, it is our duty!;;;;;;;;;;;;
ORA_response_option2;They'll never catch us alive!;;;;;;;;;;;;
SCO_ORA_response_title;Drummond Refuses!;;;;;;;;;;;;
SCO_ORA_response_desc;The damned cattlemen and their dastardly president have refused annexation! We will act accordingly!;;;;;;;;;;;;
SCO_ORA_response_option1;To war!;;;;;;;;;;;;
KHB_response_title;Heidtoun demands annexation!;;;;;;;;;;;;
KHB_response_desc;The powers in Heidtoun have demanded our annexation to them. How should we respond!;;;;;;;;;;;;
KHB_response_option1;Of course, it is our duty!;;;;;;;;;;;;Of course, it is our duty!;;;;;;;;;;;;
KHB_response_option2;They'll never catch us alive!;;;;;;;;;;;;
SCO_KHB_response_title;Xirikwa Refuses!;;;;;;;;;;;;
SCO_KHB_response_desc;Those rotten herders have refused annexation! We will act accordingly!;;;;;;;;;;;;
SCO_KHB_response_option1;To war!;;;;;;;;;;;;
empire_empty_promises;An Empire of Empty Promises;;;;;;;;;;;;
empire_empty_promises_desc;Tsonga has been built on lies and empty promises that we are unable to fulfill, and we are starting to face the consequences of this.;;;;;;;;;;;;
kariba_raids;Kariban Raids;;;;;;;;;;;;
kariba_raids_desc;The Kariban bandits in our north have made life difficult for both our soldiers and civilians.;;;;;;;;;;;;
foreign_meddling;Foreign Meddling;;;;;;;;;;;;
foreign_meddling_desc;The Foreign powers in Heidtoun and Tananarive are meddling with our markets and politics.;;;;;;;;;;;;
apathetic_leaders;Apathetic Leadership;;;;;;;;;;;;
apathetic_leaders_desc;Our leaders see the pointlessness of working at their full competence, as we are unable to supply them with sufficient rewards.;;;;;;;;;;;;
SHO_start_title;An Empire of Empty Promises;;;;;;;;;;;;
SHO_start_desc;The Second Vatsonga Empire, as it has been called, has little to do with the Tsonga of old, which are all but extinct and assimilated into the modern Tsonga population. The empire has been built in less than a decade, not because of its impressive military, great leadership, or strong economy. It was built by the desperation of its people, being surrounded on all sides by powerful enemies, with no unity, being fed lies by an ambitious clan who happened to be in the right place at the right time. But now, the empire of empty promises is facing the consequences of its actions. It has no proper systems to gain wealth from its people, no methods of dealing with the new waves of bantus, no ways of dealing with foreign powers meddling with its politics, and no ways of paying its leaders their fair due. We must act fast if Tsonga is to survive, or we will simply be a distant memory of a worse time.;;;;;;;;;;;;
SHO_start_option1;Noma a we taleriwi hi nambu.;;;;;;;;;;;;
SHO_fix_raids_title;Pacify The Kariban Bandits;;;;;;;;;;;;
SHO_fix_raids_desc;The Kariban bandits in the north have harassed us for far too long, we must put an end to this. We will use all means available to stop these scum. §RYou must keep all units in the listed provinces, and keep funding up, for at most, 1 year. Otherwise, the pacification will fail, and you'll have to start again.;;;;;;;;;;;;
raids_win_title;Victory against the Bandits;;;;;;;;;;;;
raids_win_desc;We have managed to pacify the bandits in the north. One step closer to a stable Tsonga.;;;;;;;;;;;;
raids_win_option1;Huzzah!;;;;;;;;;;;;
raids_lose_title;The Bandits Reassert Control;;;;;;;;;;;;
raids_lose_desc;Due to the lack of persistent effort against the bandits, they have reasserted control in the north.;;;;;;;;;;;;
raids_lose_option1;I should've read the description!;;;;;;;;;;;;
SHO_fix_leaders_title;Address our Poor Leadership;;;;;;;;;;;;
SHO_fix_leaders_desc;Our leadership is in a sorry state. We need to invest in our leadership structures. We will succeed, no matter how much it costs. §GYou must have 10% civilization progress, NOT 50%, to take this decision.;;;;;;;;;;;;
SHO_foreign_meddling_title;Reclaim Diplomatic Independence;;;;;;;;;;;;
SHO_foreign_meddling_desc;We must prepare to reclaim diplomatic independence from the Scots and Imerina, whether through hard or soft power.;;;;;;;;;;;;
SHO_SCO_meddling_title;Deal with the Scots;;;;;;;;;;;;
SHO_SCO_meddling_desc;The Scots have overly influenced our trade, and have supported seperatists and pretenders within our country. We must stop this.;;;;;;;;;;;;
SHO_MAD_meddling_title;Deal with the Imerina;;;;;;;;;;;;
SHO_MAD_meddling_desc;The Imerina have long been our main rival, and have used any method to weaken us. We must stop this.;;;;;;;;;;;;
SHO_remove_meddling_title;Achieve Diplomatic Indenpendece;;;;;;;;;;;;
SHO_remove_meddling_desc;We have managed to achieve diplomatic independence. Now is the time to celebrate!;;;;;;;;;;;;
SHO_CLT_meddling_title;Deal with the Scots;;;;;;;;;;;;
SHO_CLT_meddling_desc;The Scots have overly influenced our trade, and have supported seperatists and pretenders within our country. We must stop this.;;;;;;;;;;;;
SHO_UPB_meddling_title;Deal with the Scots;;;;;;;;;;;;
SHO_UPB_meddling_desc;The Scots have overly influenced our trade, and have supported seperatists and pretenders within our country. We must stop this.;;;;;;;;;;;;
SHO_ENG_meddling_title;Deal with the Scots;;;;;;;;;;;;
SHO_ENG_meddling_desc;The Scots have overly influenced our trade, and have supported seperatists and pretenders within our country. We must stop this.;;;;;;;;;;;;
SHO_fix_empire_title;Fulfill Our Promises;;;;;;;;;;;;
SHO_fix_empire_desc;With our efforts in solving the major causes that have stopped us from fulfilling our promises to our people and chiefs, we can now give our people what they deserve. This will cost, however.;;;;;;;;;;;;
PROV2068;Baloyi;;;;;;;;;;;;
BLO;Baloyi;;;;;;;;;;;;
BLO_ADJ;Vabaloyi;;;;;;;;;;;;
shona_tension_title;A million pretenders;;;;;;;;;;;;
shona_tension_desc;The tensions between us and our minor chiefs has grown too great to manage. At this point, every village has their own claimant to the Tsonga legacy. Peaceful consolidation is now seemingly impossible, best we can do now is prepare for war.;;;;;;;;;;;;
shona_tension_option1;Oh no...;;;;;;;;;;;;
SHO_civil_war_title;The Tsonga Civil War;;;;;;;;;;;;
SHO_civil_war_desc;War has come. Thie chief of Zumbo has risen up against our rule, supported by the Scots, and more are likely to follow. Tsonga has fallen, but it will rise once more.;;;;;;;;;;;;
SHO_civil_war_option1;The current dynasty lives on! §GKariba can also be chosen through this path.;;;;;;;;;;;;
SHO_civil_war_option2;Down with the corrupt king!;;;;;;;;;;;;
SHO_civil_war_option3;Bulawayo seems nice this time of year.;;;;;;;;;;;;
MAT_civil_war_title;The collapse of Tsonga;;;;;;;;;;;;
MAT_civil_war_desc;Our Tsonga overlords have collapsed under their own weight. It is time for Mthwakazi to chose its own destiny.;;;;;;;;;;;;
MAT_civil_war_option1;The Empire will be ours!;;;;;;;;;;;;
MAT_civil_war_option2;We will not abandon our roots!;;;;;;;;;;;;
KRB_civil_war_title;The Kariban Bandits Revolt;;;;;;;;;;;;
KRB_civil_war_desc;The bandits in our north have revolted, we are yet to know their motives, but this can't be good for us.;;;;;;;;;;;;
KRB_civil_war_option1;Those dogs!;;;;;;;;;;;;
KRB_civil_war_option2;We are not bandits!;;;;;;;;;;;;
MAT_KRB_civil_war_title;Hwange Revolts;;;;;;;;;;;;
MAT_KRB_civil_war_desc;The region of Hwange has revolted under the Kariban banner.;;;;;;;;;;;;
MAT_KRB_civil_war_option1;Rats!;;;;;;;;;;;;
KRB2_civil_war_title;The future of Kariba;;;;;;;;;;;;
KRB2_civil_war_desc;Kariba is at a crossroad. We could either claim rulership of the Tsonga, or we could stick to our roots, and revolt for our people. What should we do?;;;;;;;;;;;;
KRB2_civil_war_option1;The Tsonga throne will be ours!;;;;;;;;;;;;
KRB2_civil_war_option2;Long live Kariba!;;;;;;;;;;;;
KRB_grow_title;Across the River;;;;;;;;;;;;
KRB_grow_desc;Our brothers across the rivers have joined our cause! We will be victorius!;;;;;;;;;;;;
KRB_grow_option1;Hurrah!;;;;;;;;;;;;
MLW_war_title;Intervene in the Tsonga civil war;;;;;;;;;;;;
MLW_war_desc;The Tsonga civil war presents an oppurtunity for expansion. Should we take it?;;;;;;;;;;;;
MLW_war_option1;Of course!;;;;;;;;;;;;
MLW_war_option2;No, why?;;;;;;;;;;;;
MLW_retreat_title;Miyala Flees;;;;;;;;;;;;
MLW_retreat_desc;With our conquest of the Miyalan homeland, their king has fled past the lake.;;;;;;;;;;;;
MLW_retreat_option1;No worry!;;;;;;;;;;;;
form_tsonga_title;Reform Tsonga;;;;;;;;;;;;
form_tsonga_desc; We are in control of the core of Tsonga. It is time to take the mantle of the old empire.;;;;;;;;;;;;
expand_MLW_title;Expand Miyala;;;;;;;;;;;;
expand_MLW_desc;We have grown in strength, and are now capable of expanding our confederation across the lake.;;;;;;;;;;;;
tsonga_acquire_state;Tsonga Reunification;Prendre État;$STATE$ erwerben;;;;;;;;;;;
tsonga_acquire_state_short;Acquire $STATE$;Prendre $STATE$;$STATE$ erwerben;;;;;;;;;;;
tsonga_acquire_state_setup;Acquire $STATE$ from $RECIPIENT$;Prendre $STATE$ de $RECIPIENT$;$STATE$ von $RECIPIENT$ erwerben;;;;;;;;;;;
tsonga_acquire_state_desc;Acquire a Tsonga §Ystate§W;Prendre un §YÉtat§W ennemi;Erobern Sie einen feindlichen §YStaat§W.;;;;;;;;;;;
NORMAL_WAR_SHO_REUNIFICATION;$ORDER$War of Tsonga Reunification;Guerre $ORDER$$FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ Krieg;Baza;Base:;Base:;Alap:;Základna:;;;;;;
AGRESSION_WAR_SHO_REUNIFICATION;$ORDER$War of Tsonga Reunification;Guerre $ORDER$$FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ Krieg;Baza;Base:;Base:;Alap:;Základna:;;;;;;
TIK_peasant_republic;Vatikonambu Republic;;;;;;;;;;;;
SHO_peasant_republic;Vatsonga Republic;;;;;;;;;;;;
TIK_dominion;Tikonambu Dominion;;;;;;;;;;;;
SHO_dominion;Tsonga Dominion;;;;;;;;;;;;
mad_scot_title;The Mad Scot;;;;;;;;;;;;
mad_scot_desc;Word has spread of a Scot overstepping his boundries, spreading new ideas among us and our people. He should be of no worry, however.;;;;;;;;;;;;
mad_scot_option1;Okay;;;;;;;;;;;;
mad_scot_choice_title;The Mad Scot Attempts a Coup;;;;;;;;;;;;
mad_scot_choice_desc;The Mad Scot has arrived at the capital with a small brigade of Scottish infantry, and is attempting to take control of the country! The resoults of the skirmish will change the future of our country.;;;;;;;;;;;;
mad_scot_choice_option1;The monarchy must prevail!;;;;;;;;;;;;
mad_scot_choice_option2;The Scot should succeed!;;;;;;;;;;;;
mad_scot_choice_option3;A monarch of any kind is too dangerous for the continuation of the Tsonga. A council of the king's advisers and regional elders should suffice for governence.;;;;;;;;;;;;
tsonga_aftermath_title;The Afrtermath;;;;;;;;;;;;
tsonga_aftermath_desc;The civil war was bloody and devastating, but is over now. We must rebuild.;;;;;;;;;;;;
tsonga_aftermath_option1;For a brighter future.;;;;;;;;;;;;
expand_north_SHO_title;Expand Northwards;;;;;;;;;;;;
expand_north_SHO_desc;We must expand past the Zambezi to secure our northern position.;;;;;;;;;;;;
expand_nyasa_SHO_title;Conquer Miyala;;;;;;;;;;;;
expand_nyasa_SHO_desc;We must conquer Miyala to secure our position.;;;;;;;;;;;;
expand_zafimava_SHO_title;Claim Zafimava;;;;;;;;;;;;
expand_zafimava_SHO_desc;We must claim the land held by our Mifangaro brothers.;;;;;;;;;;;;
BTH;Lebatho;;;;;;;;;;;;
BTH_ADJ;Batho;;;;;;;;;;;;
SAF_famine;Famine;;;;;;;;;;;;
SAF_famine_desc;Drought, poor farming habits, or war have caused insufficient food supplies to feed our people.;;;;;;;;;;;;
ZUL_war_inform2_title;The coaltion wars is off;;;;;;;;;;;;
ZUL_war_inform2_desc;"Go home everybody" ;;;;;;;;;;;;
ZUL_war_inform2_option1;NOOOOOOOOOOOOOOOOOOOOOOOO;;;;;;;;;;;;
EVTNAME1105;Precious Goods Fever - $PROVINCENAME$;;;;;;;;;;;;
EVTDESC1105;A dried up old traveller has returned from the wilderness. When given a whiskey he says with a hoarse voice 'The mountains! They shine with unimaginable wealth!';;;;;;;;;;;;
EVTOPTA1105;We're going to be rich!;;;;;;;;;;;;
ZAM;Bemba;;;;;;;;;;;;
ZAM_ADJ;AbaBemba;;;;;;;;;;;;
ZAM_liberal;Abigenga;;;;;;;;;;;;
ZAM_conservative;Ubutegetsi bw'Umwami;;;;;;;;;;;;
ZAM_socialist;Abasosiyalisiti;;;;;;;;;;;;
ZAM_reactionary;Kugarura Ihuriro;;;;;;;;;;;;
ZAM_radical;Ihuriro ry'igihugu;;;;;;;;;;;;
ZAM_communist;Ihuriro ry'ubwigenge;;;;;;;;;;;;
ZAM_fascist;Ihuriro ry'ubumwe;;;;;;;;;;;;
annex_tiormachd_title;Centralize control in Tiormachd;;;;;;;;;;;;
annex_tiormachd_desc;Tiormachd is on the outskirts of our control in New Rubha. It shouldn't be difficult to fully annex the region under our colonial administration.;;;;;;;;;;;;
annex_sitichetir_title;Occupy Sitichetir;;;;;;;;;;;;
annex_sitichetir_desc;Sitichetir is a small town on the outskirts of what one would consider New Rubha. The people there would be glad if we were to annex the region and offer some protection.;;;;;;;;;;;;
annex_beo_title;Annex Baile Beò;;;;;;;;;;;;
annex_beo_desc;The settlers north of Heidtoun have long been connected to the colony proper. It is time to fully integrate them.;;;;;;;;;;;;
annex_mavinga_title;Annex Mavinga;;;;;;;;;;;;
annex_mavinga_desc;Now that we have solidified control in Mongu, we can annex Mavinga.;;;;;;;;;;;;
annex_tsabong_title;Expand Northwards;;;;;;;;;;;;
annex_tsabong_desc;With ever-growing powers all around the region, it has become increasingly obvious that our brothers in the north would be more than happy to cooperate with us, securing their freedom.;;;;;;;;;;;;
accept_mifangaro_MAD_title;Embrace the Mifangaro;;;;;;;;;;;;
accept_mifangaro_MAD_desc;The Mifangaro, while different in many ways, are still malagasy. We should come to recognize this.;;;;;;;;;;;;
south_africa_gift_give1_title;A Gift for Another Country?;;;;;;;;;;;;
south_africa_gift_give1_desc;Our elders and advisers have suggested that we send a gift to another country. This could be an oppurtunity for an alliance.;;;;;;;;;;;;
south_africa_gift_give1_option1;Of course!;;;;;;;;;;;;
south_africa_gift_give1_option2;No, why?;;;;;;;;;;;;
south_africa_gift_give2_title;A gift from $FROMCOUNTRY$;;;;;;;;;;;;
south_africa_gift_give2_desc;$FROMCOUNTRY$ has sent us large sums of wealth, in hopes of improving relations.;;;;;;;;;;;;
south_africa_gift_give2_option1;How kind!;;;;;;;;;;;;
south_africa_insult1_title;An Insult for Another Country?;;;;;;;;;;;;
south_africa_insult1_desc;Our elders and advisers have shone resentment towards another people. Perhaps we should show them how we feel?;;;;;;;;;;;;
south_africa_insult1_option1;Of course!;;;;;;;;;;;;
south_africa_insult1_option2;No, why?;;;;;;;;;;;;
south_africa_insult2_title;$FROMCOUNTRY$ has insulted us!;;;;;;;;;;;;
south_africa_insult2_desc;The bastards in $FROMCOUNTRY$ have insulted us and our people.;;;;;;;;;;;;
south_africa_insult2_option1;How rude!;;;;;;;;;;;;
south_africa_generic_war_title;Our Warriors Beg for Combat!;;;;;;;;;;;;
south_africa_generic_war_desc;Our warriors are begging to invade another country, and receive tribute. Should we allow them?;;;;;;;;;;;;
south_africa_generic_war_option1;Of course!;;;;;;;;;;;;
south_africa_generic_war_option2;No, why?;;;;;;;;;;;;
south_africa_war_response_title;$FROMCOUNTRY$ Has Declared War!;;;;;;;;;;;;
south_africa_war_response_desc;$FROMCOUNTRY$ has declared war on us!;;;;;;;;;;;;
south_africa_war_response_option1;Rats!;;;;;;;;;;;;
south_africa_bountiful_harvest_title;Bountiful Harvest in $PROVINCENAME$;;;;;;;;;;;;
south_africa_bountiful_harvest_desc;$PROVINCENAME$ has been lucky with our harvests this year. We can expect higher birth rates and much lower death rates in the region for the following months.;;;;;;;;;;;;
south_africa_bountiful_harvest_option1;Okay.;;;;;;;;;;;;
south_africa_famine_title;Famine Strikes $PROVINCENAME$;;;;;;;;;;;;
south_africa_famine_desc;$PROVINCENAME$ has been unlucky with harvests this year. We can expect starvation and death in the region for this following months.;;;;;;;;;;;;
south_africa_famine_option1;Okay;;;;;;;;;;;;
south_africa_debate_title;Debating Among Us;;;;;;;;;;;;
south_africa_debate_desc;There has been recent debate between our advisers as to how our surplus resources should be spent. What should we decide upon?;;;;;;;;;;;;
south_africa_debate_option1;Improve our knowledge.;;;;;;;;;;;;
south_africa_debate_option2;Train new leaders.;;;;;;;;;;;;
south_africa_guns_title;An Offer From European Traders;;;;;;;;;;;;
south_africa_guns_desc;European Traders have entered our land have offered to sell as munitions, for a hefty price. Do we accept?;;;;;;;;;;;;
south_africa_guns_option1;Of course!;;;;;;;;;;;;
south_africa_guns_option2;No, why?;;;;;;;;;;;;
SHO_expand_north_title;The North is Occupied;;;;;;;;;;;;
SHO_expand_north_desc;With almost no resistence, the north has been occupied.;;;;;;;;;;;;
SHO_expand_north_option1;Okay.;;;;;;;;;;;;
TSW_retreat_title;The Batswana Retreat;;;;;;;;;;;;
TSW_retreat_desc;With the annexation of the Batswana core, the remaining leaders have fled north and have re-established A Tswana Kingdom.;;;;;;;;;;;;
TSW_retreat_option1;Potentially useful!;;;;;;;;;;;;
conquer_river_TSW1_title;Conquer the Senqu River;;;;;;;;;;;;
conquer_river_TSW1_desc;The Senque river shows prime conquering potential. The region is in chaos due to the incoming settlers, with no strong central authority. The logistics of the conquest and maintenance will be difficult, but managable.;;;;;;;;;;;;
conquer_river_TSW2_title;Integrate the Senqu River;;;;;;;;;;;;
conquer_river_TSW2_desc;We must first occupy the region before integrating it. This can be easily achieved, but still, must be achieved.;;;;;;;;;;;;
conquer_namib_TSW_title;Conquer the Namib;;;;;;;;;;;;
conquer_namib_TSW_desc;The Khoikhoi are in dire need of our guidance in this ever-changing world. We must conquer and integrate the land before any other powers get to.;;;;;;;;;;;;
batho_acquire_state;Batho Unification;Prendre État;$STATE$ erwerben;;;;;;;;;;;
batho_acquire_state_short;Acquire $STATE$;Prendre $STATE$;$STATE$ erwerben;;;;;;;;;;;
batho_acquire_state_setup;Acquire $STATE$ from $RECIPIENT$;Prendre $STATE$ de $RECIPIENT$;$STATE$ von $RECIPIENT$ erwerben;;;;;;;;;;;
batho_acquire_state_desc;Acquire a Sotho-Tswana §Ystate§W;Prendre un §YÉtat§W ennemi;Erobern Sie einen feindlichen §YStaat§W.;;;;;;;;;;;
NORMAL_WAR_BTH_UNIFICATION;$ORDER$War of Batho Unification;Guerre $ORDER$$FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ Krieg;Baza;Base:;Base:;Alap:;Základna:;;;;;;
AGRESSION_WAR_BTH_UNIFICATION;$ORDER$War of Batho Unification;Guerre $ORDER$$FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ Krieg;Baza;Base:;Base:;Alap:;Základna:;;;;;;
form_lebatho_title;Form Lebatho;;;;;;
form_lebatho_desc;The Sotho, Pedi and Tswana have much in common, both in language and in foreign threats. It would be best if we were to unite under one ruler. Ours.;;;;;;
import_sugar_zulu_title;Import Sugar to Zululand;;;;;;
import_sugar_zulu_desc;Coastal Zululand has the perfect climate for growing sugar, and plenty of labour. It would be foolish not to import the crop immediately.;;;;;;
factory_sugar_zulu_title;Build the $CAPITAL$ Rum Distillery;;;;;;;;;;;;
factory_sugar_zulu_desc;With the large sugar plantations, and reports of coal in the mountains, $CAPITAL$ would be a perfect location for a rum distillery. This will not only bring profit, but will also help with the modernisation of the region.;;;;;;;;;;;;
XHO_conservative;Iqela Lokumkani;Faction conservateur;Konservative Fraktion;;;;;;;;;;
XHO_liberal;Inkongolo Yohlaziyo;Faction libéral;Liberale Fraktion;;;;;;;;;;
XHO_reactionary;Iqela Lwemveli;Faction traditionnelle;Traditionelle Fraktion;;;;;;;;;;
XHO_radical;Iqela Lamashishini;Die radikale Fraktion;;;;;;;;;;
XHO_socialist;Iqela Lobusoshiyali;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;
XHO_communist;Inkongolo Lenguqu;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;
XHO_fascist;Iqela lobuFasi;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;
ZUL_conservative;Iqembu Lasebukhosini;Faction royale;Königsfraktion;;Facción Real;;;;;;;;;
ZUL_liberal;Umbimbi Wezinguquko;Faction libérale;Die liberale Fraktion;;La Facción Liberal;;;;;;;;;
ZUL_reactionary;Iqembu Lendabuko;Faction nationaliste;Die nationalistische Fraktion;;La Facción Nacionalista;;;;;;;;;
ZUL_radical;Inhlangano Yebhizinisi;Faction radicale;Die radikale Fraktion;;La Facción Radical;;;;;;;;;
ZUL_socialist;Umfelandawonye Wabantu;Faction socialiste;Die sozialistische Fraktion;;La Facción Socialista;;;;;;;;;
ZUL_communist;Iqembu lamaKhomanisi;Faction communiste;Die kommunistische Fraktion;;La Facción Comunista;;;;;;;;;
ZUL_fascist;Iqembu Lesizwe;Faction fasciste;Die faschistische Fraktion;;La Facción Fascista;;;;;;;;;
BSH_conservative;Sehlopha sa Borena;Faction royale;Königsfraktion;;;;;;;;;;
BSH_liberal;Sehlopha sa Tokoloho;Faction de réforme;Verbesserung Fraktion;;;;;;;;;;
BSH_reactionary;Selekane sa Setso;Faction d'empire;Reich Fraktion;;;;;;;;;;
BSH_radical;Selekane sa Khoebo;Faction radicale;Die radikale Fraktion;;;;;;;;;;
BSH_socialist;Sehlopha sa Bososhiale;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;
BSH_communist;Bafetoheli;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;
BSH_fascist;Mokhatlo oa Naha;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;
MAT_conservative;Abaqotho;Faction royale;Königsfraktion;;;;;;;;;;
MAT_liberal;Umfelandawonye Woshintsho;Faction de réforme;Verbesserung Fraktion;;;;;;;;;;
MAT_reactionary;Asizivikele Nevatsonga;Faction d'empire;Reich Fraktion;;;;;;;;;;
MAT_radical;Umfelandawonye Ibhizimusi;Faction radicale;Die radikale Fraktion;;;;;;;;;;
MAT_socialist;Iqembu Labantu;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;
MAT_communist;Iqembu lamaKhomanisi;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;
MAT_fascist;Iqembu lamaNdebele;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;
SHO_conservative;Ntubatanidzwo wa Hambo;Faction royale;Königsfraktion;;;;;;;;;;
SHO_liberal;Ntubatanidzwo wa Rushunxeko;Faction de réforme;Verbesserung Fraktion;;;;;;;;;;
SHO_reactionary;Huvo ya ndechivanhu;Faction d'empire;Reich Fraktion;;;;;;;;;;
SHO_radical;Vem’wamabindzu;Faction radicale;Die radikale Fraktion;;;;;;;;;;
SHO_socialist;Ntubatanidzwo wa Vanhu;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;
SHO_communist;Vaxanduki;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;
SHO_fascist;Vadziwiriri Venyika;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;
GAZ_conservative;Antoko Mpanjoka;;;;;;;;;;;;
GAZ_liberal;Fiaraha-Mitantana Fanavaozako;;;;;;;;;;;;
GAZ_reactionary;Antoko Nentim-Paharazana;;;;;;;;;;;;
GAZ_radical;Antokon'ny Fahafahano;;;;;;;;;;;;
GAZ_socialist;Manan'ny Vahoaka;;;;;;;;;;;;
GAZ_communist;Kongresy Kominista;;;;;;;;;;;;
