Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;Tibetan
taungoo_restoration_title;Restore Greater Burma;;;;;;;;;;;;;
taungoo_restoration_desc;We are now strong enough to retake the lands that were once under the rule of the Burmese Empire.;;;;;;;;;;;;;
burma_takes_chiang_mai_title;Annex the Shan Saw Bwars;;;;;;;;;;;;;
burma_takes_chiang_mai_desc;Even though the Shan Saw Bwars are loyal to the Burmese we have to give the less autonomy if we want a more centralized government. We shall directly control the Shan States from now.;;;;;;;;;;;;;
partition_bohemia_title;Partition of Bohemia;;;;;;;;;;;;;
partition_bohemia_desc;Bavaria owns the Bohemian homeland and we should capitalize on this.;;;;;;;;;;;;;
burma_form_eob_title;From the Tibeto-Burman Union;;;;;;;;;;;;;
burma_form_eob_desc;We have united all the Tibeto-Burmans under our dynasty. We shall form the Tibeto-Burman Union;;;;;;;;;;;;;
tibet_form_eob_title;From the Tibeto-Burman Union;;;;;;;;;;;;;
tibet_form_eob_desc;We have united all the Tibeto-Burmans under our dynasty. We shall form the Tibeto-Burman Union;;;;;;;;;;;;;
reclaim_east_frisia_title;Reclaim Frisia;;;;;;;;;;;;;
consolidate_krain_desc;The Carnolian lands have been historically part of our domain, but the Cilli counts have pilfered it from us. We should take action to rectify that historical mistake.;;;;;;;;;;;;;
consolidate_krain_title;Consolidate Krain;;;;;;;;;;;;;
reclaim_east_frisia_desc;The East Frisian lands have been historically part of our domain, but the Dutch have pilfered it from us. We should take action to rectify that historical mistake.;;;;;;;;;;;;;
we_lost_venice_title;We lost Venice;;;;;;;;;;;;;
we_lost_venice_desc;We lost our beautiful capital of Venice so it doesn't make sense we call ouself the Venetian Republic.How about Republic of San Marco?;;;;;;;;;;;;;
we_lost_genoa_title;We lost Genoa;;;;;;;;;;;;;
we_lost_genoa_desc;We lost our capital of Genoa so it doesn't make sense we call ouself the Genoese Republic.How about Tirrenian Republic?;;;;;;;;;;;;;
we_retook_venice_title;Return of Venice;;;;;;;;;;;;;
we_retook_venice_desc;Venice is once again part of our nation ,we can finally return to former glory and rename ourself to Venice once again;;;;;;;;;;;;;
we_retook_genoa_title;Return of Genoa;;;;;;;;;;;;;
we_retook_genoa_desc;Genoa is once again part of our nation ,we can finally return to former glory and rename ourself to Genoa once again;;;;;;;;;;;;;
claim_nogai_lands_title;Into the Turan Depression;;;;;;;;;;;;;
claim_nogai_lands_desc;The Kazakh steppes has always posed a problem to Russia. Countless Hordes have occupied it since time immemorial, and have raided greater Russia based from it. However, the tables have turned. The Nogai horde are now all but our subjects, and we have the authority to lay claim to their hinterlands. To Uralsk!;;;;;;;;;;;;;
annex_the_Kazakhs_title;Annexation of Kazakhstan;;;;;;;;;;;;;
annex_the_Kazakhs_desc;Russia needs more land for her people, and the Kazakh rump state stands open for colonization. We shall abolish the failing monarchy and build the Governorate of the Steppes to serve all of Russia.;;;;;;;;;;;;;
annex_Bukkhara_title;Annexation of Bukkhara;;;;;;;;;;;;;
annex_Bukkhara_desc;Bukkhara is too rich of a land for it to be languishing under the backwards monarchy. The khan can be bribed with an estate and some gold, and we shall add the lands into the Governorate of Central Asia.;;;;;;;;;;;;;
claim_moldavia_title;Claim Moldavia;;;;;;;;;;;;;
claim_moldavia_desc;The rump state of Transnistria has been continuously failing the Ruthenyan population it claims to rule over. That comes to an end today. We shall claim Transnistira once and for all. ;;;;;;;;;;;;;
claim_bryansk_title;Claim Bryansk;;;;;;;;;;;;;
claim_bryansk_desc;Bryansk has always been a sore point between Russia and Lithuania. With Smolenskians making up the majority of the rural population, the Lithuanian urban majority with the Ruthenyans weighing in on thier side has been the only obstacle in our control of the region. Now that we own White Ruthenia, that territory can be integrated into our realm.;;;;;;;;;;;;;
Take_Black_Sea_coast_title;Into Azov;;;;;;;;;;;;;
Take_Black_Sea_coast_desc;Azov has always been on the site for us. Tho a minor port for world standards, it is the only port in the Black sea that has been at least cordial with us. With increasing control over the hinterlands, now finally may be the moment to make the move.;;;;;;;;;;;;;
Take_Nogai_title;The Annexation of Nogai;;;;;;;;;;;;;
Take_Nogai_desc;Russia needs more land to grow, and the rump state of Nogai seems like our best bet. Russian immigration into their lands have already started, and we will make sure it continues.;;;;;;;;;;;;;
emancipate_ruthenyans_title;The Emancipation of Ruthenyans;;;;;;;;;;;;;
emancipate_ruthenyans_desc;Ruthenyans make up the vast majority of our population, but are treated like second class citizens. This cannot continue. We must stem Ruthenyan nationalism if we want to survive as a nation, and the first step is to treat them equally as Polish citizens.;;;;;;;;;;;;;
lithuanian_poland_lithuania_ruthenia_title;The Polish-Hungarian-Ruthenyan Commonwealth;;;;;;;;;;;;;
lithuanian_poland_lithuania_ruthenia_desc;Hungary and Poland cannot stand separated. While Poland may be weaker than Bavaria and the wider German sphere and Hungary is weaker than Venice, we are stronger together. A commonwealth of Poles, Lithuanians, and Ruthenyans can challenge any great power!;;;;;;;;;;;;;
form_amazonas_title;Unite the Amazon;;;;;;;;;;;;;
form_amazonas_desc;A few states in the middle of the jungle no more.We should unite!;;;;;;;;;;;;;
incorparate_arabistan_title;Incorparate Muntafiq;;;;;;;;;;;;;
incorparate_arabistan_desc;Our vassal in Mesopotamia has been an important part of our emprie and with our increasing push for centralization , we should start with them;;;;;;;;;;;;;
centralize_kalani_title;Centralize the Karlani Empire;;;;;;;;;;;;;
centralize_kalani_desc;Our might has been weakened and there is only one reason for it.Our decentralizatrion is at fault;;;;;;;;;;;;;
end_armenia_title;Annex Armenia;;;;;;;;;;;;;
end_armenia_desc;Its time to centralize more and more of our Nation;;;;;;;;;;;;;
incorparate_yemen_title;Annex our Arabian Vassal;;;;;;;;;;;;;
incorparate_yemen_desc;Our vassal in Arabia has been an important part of our emprie and with our increasing push for centralization .We should start with them;;;;;;;;;;;;;
incorparate_aragon_title;Integrate Aragon;;;;;;;;;;;;;
incorparate_aragon_desc;With the Aragonese in our Hands ist time to annex them and make them an integral part of our nation;;;;;;;;;;;;;
join_hre_title;Join the Holy Roman Empire;;;;;;;;;;;;;
join_hre_desc;Whilest we aren't part of the empire, with our geographical and cultural location they cannot reject this offer;;;;;;;;;;;;;
claim_burgundy_title;Burgundy Expansion;;;;;;;;;;;;;
claim_burgundy_desc;Our Realm is strong and has room for expansion.With many Burgundians in our dominion we could go after their kingdom;;;;;;;;;;;;;
who_wants_champagne_title;The Lands West;;;;;;;;;;;;;
who_wants_champagne_desc;With Burgundy secured.We need to secure more french ,but geographically important lands.;;;;;;;;;;;;;
northern_manace_title;The Northern Menace;;;;;;;;;;;;;
northern_manace_desc;Luxembourg has long threatened our western german hemogony and have claims on the Saar;;;;;;;;;;;;;
rhineland_lorrainian_title;Lorrainian Natural Borders;;;;;;;;;;;;;
rhineland_lorrainian_desc;Our Dominion and Realm are the most secxure in Europe, the northern Border isnt very defendable.Lets fix that!;;;;;;;;;;;;;
claim_ingriya_title;Claim Ingriya;;;;;;;;;;;;;
claim_ingriya_desc;We have consolidated our heart lands.Let's get some more 'heart land';;;;;;;;;;;;;
coastal_crusade_desc;With our capture of Ingriya we can finally return to our former selfs;;;;;;;;;;;;;
coastal_crusade_title;Crusade for the Coast;;;;;;;;;;;;;
sco_give_supplies_title;Give supplies to England;;;;;;;;;;;;;
sco_give_supplies_desc;Looks like the English are having a civil war, if the Westminsters win we will have a Dutch puppet on our border, we can't let this happen. Send Supplies to England!;;;;;;;;;;;;;
claim_brandenburg_title;Claim Brandenburg;;;;;;;;;;;;;
claim_brandenburg_desc;Almost all Saxon lands are now under our rule, the only ones left is  pesky Brandenburg;;;;;;;;;;;;;
unite_bishops_title;Unite the Bishoprics;;;;;;;;;;;;;
unite_bishops_desc;For long , the Bishoprics of german descend have been disunited.Its has come time to change that.;;;;;;;;;;;;;
aztec_claim_ca_title;Claim the Central Columbia;;;;;;;;;;;;;
aztec_claim_ca_desc;We already are the strongest in the Central Columbia region so why not unify it?;;;;;;;;;;;;;
aztec_friend_pirates_title;Make Friends with the Pirates;;;;;;;;;;;;;
aztec_friend_pirates_desc;Us and the pirates share a common enemy, The Genoense, we should work together and beat them.;;;;;;;;;;;;;
become_denmark_title;Become Denmark;;;;;;;;;;;;;
become_denmark_desc;As we lost Norway, we have no right to call ourselves 'Denmark-Norway' anymore;;;;;;;;;;;;;
danish_holstein_title;The Duchy of Holstein;;;;;;;;;;;;;
danish_holstein_desc;There are Danes over in Holstein who aren't being represented by the Hanseatic government.WE should Liberate them;;;;;;;;;;;;;
danish_north_germany_title;German Expansion;;;;;;;;;;;;;
danish_north_germany_desc;We need to have a stronghold in Germany to show our german Hegemony;;;;;;;;;;;;;
swedish_karelia_title;Claim Karelia;;;;;;;;;;;;;
swedish_karelia_desc;There stre finns under Russin oppresion over in Karelia, we need to protect them!;;;;;;;;;;;;;
option_enable_revolts_title;Enable ToL Non-Dynamic Revolts;;;;;;;;;;;;;
option_enable_revolts_desc;This option enables non-Dynamic revolts, as they rarely happen.This option does NOT disable Dynamic Revolts;;;;;;;;;;;;;
join_the_hansa_title;Join the Hanseatic League ;;;;;;;;;;;;;
join_the_hansa_desc;With growing german national sentiment we shopuld do something oursself;;;;;;;;;;;;;
talks_about_representation_title;Edict on Daimin gokuo;;;;;;;;;;;;;
talks_about_representation_desc;"As the events of Satsuma shock have shown, there is ample benefits to be had from learning from our southern colony of Sainantan. From their surprisingly advanced military to their economy, we have much to learn. Breaking from tradition, we shall issue an edict on the movement of Daimin Gokuo, or ""Ask the people, inform the Emperor"".";;;;;;;;;;;;;
become_prussia_title;Become Prussia;;;;;;;;;;;;;
become_prussia_desc;We lost our former home lands, we don't deserve our name...;;;;;;;;;;;;;
become_latvia_title;Become Latvia;;;;;;;;;;;;;
become_latvia_desc;We lost our former home lands, we don't deserve our nameâ¦;;;;;;;;;;;;;
become_estonia_title;Become Estonia;;;;;;;;;;;;;
become_estonia_desc;We lost our former home lands, we don't deserve our nameâ¦;;;;;;;;;;;;;
become_memel_title;Become Memelland;;;;;;;;;;;;;
become_memel_desc;We lost our former home lands, we don't deserve our nameâ¦;;;;;;;;;;;;;
unite_lorraine_title;Unite with the Saarland;;;;;;;;;;;;;
unite_lorraine_desc;Our two Nations are so similar ,that it makes sense to merge both states into one;;;;;;;;;;;;;
unite_aragon_title;Unite with Aragon;;;;;;;;;;;;;
unite_aragon_desc;Our two Nations are so similar ,that it makes sense to merge both states into one;;;;;;;;;;;;;
unite_occitania_title;Unite with Occitania;;;;;;;;;;;;;
unite_occitania_desc;Our two Nations are so similar ,that it makes sense to merge both states into one;;;;;;;;;;;;;
unite_illyria_title;Unite with Illyria;;;;;;;;;;;;;
unite_illyria_desc;Our two Nations are so similar ,that it makes sense to merge both states into one;;;;;;;;;;;;;
unite_prussia_title;Unite with Prussia;;;;;;;;;;;;;
unite_prussia_desc;Our two Nations are so similar ,that it makes sense to merge both states into one;;;;;;;;;;;;;
collapse_modifier_isa_title;Isa Ber is collapsing;;;;;;;;;;;;;
collapse_modifier_isa_desc;Our collapse is inevitable;;;;;;;;;;;;;
reform_caliphate_title;Reform the Caliphate;;;;;;;;;;;;;
reform_caliphate_desc;Our downfall was seen as inevitable ,but now we can finally stop this downfall and start to rise again!;;;;;;;;;;;;;
steal_yemen_title;Take Yemen from the Ethiopians!;;;;;;;;;;;;;
steal_yemen_desc;Those Ehiopians are trying to expand into the middle east, we should stop them before they get too far.;;;;;;;;;;;;;
ottoman_conquer_egypt_title;Send our army to Egypt!;;;;;;;;;;;;;
ottoman_conquer_egypt_desc;We will conquer Egypt. Our ancesters had fail to conquer Egypt and we will conquer it now.;;;;;;;;;;;;;
bohemian_language_schooling_title;Bohemian language reform;;;;;;;;;;;;;
bohemian_language_schooling_desc;With our conversion and return of the Germans to our nation we shouzld teach the remaining czechs and germans that bohemian is the new way to go;;;;;;;;;;;;;
expand_the_empire_title;Expand the imperium;;;;;;;;;;;;;
expand_the_empire_desc;Long have we been confined to this lake in the middle of nowhere.This nowhere should be our border;;;;;;;;;;;;;
roman_romanization_edict_title;Romanization Edict;;;;;;;;;;;;;
roman_romanization_edict_desc;With the new lands under our control, we should start integrating them into Nova Roma;;;;;;;;;;;;;
roman_romanization_edict_2_title;Second Romanization Edict;;;;;;;;;;;;;
roman_romanization_edict_2_desc;With the new lands under our control, we should start integrating them into Nova Roma;;;;;;;;;;;;;
claim_africa_title;Claim African Lands;;;;;;;;;;;;;
claim_africa_desc;We need to project our power and restore the empire to Glory, this time in Africa;;;;;;;;;;;;;
form_belgium_title;Unite Belgica;;;;;;;;;;;;;
form_belgium_desc;Us northerners have had a weird relationship with eachother, being close in culture and language, more than the Francien.;;;;;;;;;;;;;
corpus_iuris_civilis_title;The Corpus Iuris Civilis;;;;;;;;;;;;;
corpus_iuris_civilis_desc;For too long our laws have been messy, confusing and sometimes even contradictory each other. It's time for to reorganize our legislation into an ordered collection;;;;;;;;;;;;;
teach_czechs_title;Teach German in Bohemia;;;;;;;;;;;;;
teach_czechs_desc;With our conquest of the czechs many new commers have entered our realm.They sadly do not speak German which should change this instant;;;;;;;;;;;;;
claim_prussia_title;Claim Prussia;;;;;;;;;;;;;
claim_prussia_desc;We should gain the entire baltic and not just former Ortelsburg;;;;;;;;;;;;;
illyrian_union_title;Slavic compromise;;;;;;;;;;;;;
illyrian_union_desc;The Slavs are unhappy and they will continue to revolt as long as we won't do anything.We should protect thgem and only them.I'm sure the others won't mind;;;;;;;;;;;;;
reconsile_serbia_title;Serbian Border despute;;;;;;;;;;;;;
reconsile_serbia_desc;The Serbs have long been threatening us.We want peace for our people and that is only given if we can make peace with Serbia;;;;;;;;;;;;;
assimilate_dalmatia_title;Integrate Dalmatia;;;;;;;;;;;;;
assimilate_dalmatia_desc;The Dalmatians don't fit in.They speak a slavic language that doesn't fit in our greko-veneto empire.So let's integrate them by teaching our language;;;;;;;;;;;;;
doleh_treaty_port_title;Doleh Treaty Port;;;;;;;;;;;;;
doleh_treaty_port_desc;We are now gaining control of Doleh;;;;;;;;;;;;;
muroto_treaty_port_title;Elem Ifoko Treaty Port;;;;;;;;;;;;;
muroto_treaty_port_desc;We are now gaining control of Elem Ifoko;;;;;;;;;;;;;
minamiosumi_treaty_port_title;Minamiosumi Treaty Port;;;;;;;;;;;;;
minamiosumi_treaty_port_desc;We are now in control of Minamiosumi;;;;;;;;;;;;;
adale_treaty_port_title;Adale Treaty Port;;;;;;;;;;;;;
adale_treaty_port_desc;We are now in control of Adale;;;;;;;;;;;;;
masirah_treaty_port_title;Sur Masirah Treaty Port;;;;;;;;;;;;;
masirah_treaty_port_desc;We are now in control of Sur Masrirah;;;;;;;;;;;;;
spanish_northern_claim_title;Claim Northern Lands;;;;;;;;;;;;;
spanish_northern_claim_desc;There are Toledans living in southern Leon who should be part of our empire.;;;;;;;;;;;;;
spanish_granada_claim_title;Conquer Granada;;;;;;;;;;;;;
spanish_granada_claim_desc;Granada simply shouldn't exist it should have died centuries ago and now, too late I might add, we should conquer and convert them.;;;;;;;;;;;;;
offer_to_buy_mallorca_title;Offer to buy Mallorca;;;;;;;;;;;;;
offer_to_buy_mallorca_desc;The Islands have been under Genoese controll for a while and are acually part of Hispania, not Italy.So we could suggest to buy them.;;;;;;;;;;;;;
maghera_expansion_title;Maghera Expansion;;;;;;;;;;;;;
maghera_expansion_desc;The Administrative Zone of the City of Venice ends at the Sea, but our poeple are populating that sea, over populating.Its becoming hard to conduct trade and industrialize becaue of it.We could expand the Administrative zone of the City of Venice over to the coastal city Maghera.;;;;;;;;;;;;;
embrace_low_germans_title;Embrace the Low Germans;;;;;;;;;;;;;
embrace_low_germans_desc;They are similar in nature but sadly german non the less so less after a long discussion give them equal rights.;;;;;;;;;;;;;
centralize_northumbria_title;Centralize Northumbria;;;;;;;;;;;;;
centralize_northumbria_desc;After Irish ones it's time for the English nobles to give up part of their power.;;;;;;;;;;;;;
centralize_northumbria_desc;After Northern Irish ones it's time for the English nobles to give up part of their power.;;;;;;;;;;;;;
biobio_mining_boom_title;Biobio mining boom;;;;;;;;;;;;;
biobio_mining_boom_desc;The estuaries of the Biobio river have one of the most rich coal reserves in the world. As we seek to modernize, these reserves cannot be passed over. We shall send european experts and our best miners to exploit the reserves at once.;;;;;;;;;;;;;
quito_land_reforms_title;Land reforms in Quito;;;;;;;;;;;;;
quito_land_reforms_desc;While the land distributions of the prior Sapa Incas had helped the local farmers in the south, the north-especially in the Quito region-has yet to see the benefits, due to improper implementation of the policy and lack of political will. This changes today. We shall help the farmers to own their own plots of land and modernize their production.;;;;;;;;;;;;;
incan_final_industry_reforms_title;A true modern industy;;;;;;;;;;;;;
incan_final_industry_reforms_desc;New mines, new farms, new industry, new jobs. The past economic progress has been a true boon to our nation, and we seek to continue that prosperity. With the final financial and fiscal reforms, we will set our nation on the path to an even greater future!;;;;;;;;;;;;;
iwakura_mission_sai_title;Iwakura Mission;;;;;;;;;;;;;
iwakura_mission_sai_desc;"The Iwakura Mission or Iwakura Embassy was a Japanese diplomatic journey around the world, initiated in $YEAR$ by the oligarchs of the Meiji period. Although it was not the only such """"mission"""", it is the most well-known and possibly most important for the modernization of Japan after a long period of isolation from the West. It was first proposed by the influential Dutch missionary and engineer Guido Verbeck and was probably based on the model of the Grand Embassy of Peter I. The purposes of the mission were twofold: To renegotiate the unequal treaties with the Great Powers that Japan had been forced into during the previous decades and to gather information on education, technology, culture, and military, social and economic structures from the countries visited in order to effect the modernization of Japan.";;;;;;;;;;;;;
declare_federation_title;Grant More Autonomy To Minorities;;;;;;;;;;;;;
declare_federation_desc;We have many minorities in our empire who are currently demanind more local autonomies more governing power. Despite the need to centralize the government, it is necessnary to avoid risking our border regions to rebel.;;;;;;;;;;;;;
human_rights_fra_title;Declare a Law of Human Rights;;;;;;;;;;;;;
human_rights_fra_desc;As liberalist ideology is getting more popular among minorities in Frnace, we shall create a law that ensure fundamental human rights to everyone. By making some concessions toward these minorities, we could avoid a massive rebellion. However, backlash is expected from the Ile-de-France, as they will lose some privileges.;;;;;;;;;;;;;
embrace_liberalism_title;Embrace Egalitarian Ideal;;;;;;;;;;;;;
embrace_liberalism_desc;By embracing egalitarian ideals, our nation shall be a better one. It doesn't matter if you are either French, Arpitan, Burgundian, Breton, Belgican, or Occitan, for we all live in the same country - France. Sadly, many conservative and reactionary will be angered by this radical change.;;;;;;;;;;;;;
french_federation_title;The French Federation;;;;;;;;;;;;;
french_federation_desc;It's time to declare the French Federation, a nation free and independent from tyranny of a monarch, free to speak their language in their homelands. Minorities will be guaranteed to have equal rights, and local autonomy will be protected.;;;;;;;;;;;;;
centralize_power_title;Centralize Power;;;;;;;;;;;;;
centralize_power_desc;We have minorities that are unlawful and demand more autonomy. We cannot do this.We need to centralize our power despite their demands.;;;;;;;;;;;;;
suppress_minorities_title;Suppress Minorities;;;;;;;;;;;;;
suppress_minorities_desc;The minorities still demand more power in government but that doesn't mean we need to give them that, right?;;;;;;;;;;;;;
embrace_order_title;Embrace Order;;;;;;;;;;;;;
embrace_order_desc;The streets have become silent. Order is the norm in our politics. It has truly become our national value.;;;;;;;;;;;;;
the_ideal_order_title;The Ideal Order;;;;;;;;;;;;;
the_ideal_order_desc;It has been silentâ¦  The Orderâ¦. We need full Order and obeying Peopleâ¦ In Private, Public and Political lifeâ¦;;;;;;;;;;;;;
reclaim_levant_byz_title;Reclaim the Levant;;;;;;;;;;;;;
reclaim_levant_byz_desc;To return to our former glory, we have to also regain our power in the Mediterranian. The Levant is a great start to do so;;;;;;;;;;;;;
reclaim_egypt_title;Reclaim Egypt;;;;;;;;;;;;;
reclaim_egypt_desc;Egypt was proudly roman.So much even that they kept their weird greekified language.Its time to get them back to the empire;;;;;;;;;;;;;
reclaim_maghreb_title;Reclaim the Barbary Coast;;;;;;;;;;;;;
reclaim_maghreb_desc;To fulfill our destiny we need close to full Mediterranian domination and the Barbary Coast is a great place to do that;;;;;;;;;;;;;
on_to_italia_title;Return to Italia;;;;;;;;;;;;;
on_to_italia_desc;Our last Destination.Italia or at least the south of it.;;;;;;;;;;;;;
form_rome_title;Roma Aeterna;;;;;;;;;;;;;
form_rome_desc;Long Rome has been lost but stll present in the minds of its succesors, buried under the sands of time but Rome is eternal. ROMA AETERNA!;;;;;;;;;;;;;
core_FRZ_title;The true France;;;;;;;;;;;;;
core_FRZ_desc;With our war concluded we can finally poudly say, We are the true France;;;;;;;;;;;;;
claim_loango_title;Claim Loango;;;;;;;;;;;;;
claim_loango_desc;Loango is our smaller and weaker neighbour.They are basically Congo 2 but there can only be one.;;;;;;;;;;;;;
claim_lunda_title;Claim Lunda;;;;;;;;;;;;;
claim_lunda_desc;Lunda is currently the biggest threat to us and we should just conquer them;;;;;;;;;;;;;
claim_south_central_title;The Southern Bantus;;;;;;;;;;;;;
claim_south_central_desc;In our persuit to unite the Bantus, we have to go and also go conquer the Bantus south of us.;;;;;;;;;;;;;
jungle_conquest_title;Jungle Conquest;;;;;;;;;;;;;
jungle_conquest_desc;Our Lands are broad and they still need to be broadened as long as there are still Bantu people living in opression;;;;;;;;;;;;;
claim_tangyika_title;The Eastern Bantus;;;;;;;;;;;;;
claim_tangyika_desc;The people behind Kale Tangyika are Bantu too and need Protection;;;;;;;;;;;;;
form_bantu_title;Unite the Bantu;;;;;;;;;;;;;
form_bantu_desc;Never have the Bantu's been united.Its time to fix that!;;;;;;;;;;;;;
ottoman_change_culture_title;Embrace Ottomanism;;;;;;;;;;;;
ottoman_change_culture_desc;Eventhough we are Turks we have been seperated from our homeland for over 400 years our culture has changed a lot from the Turkish culture, from now on our culture is the Ottoman culture.;;;;;;;;;;;;
burma_claim_dali_title;Rename Dali;;;;;;;;;;;;
burma_claim_dali_desc;We took back our homeland from the Chinese, now we'll rename the cities to what we used to called them.;;;;;;;;;;;;
reclaim_angevin_lands_title;Claim the Angevin Empire;;;;;;;;;;;;
reclaim_angevin_lands_desc;Our nation represents all the british people and their claims and ideals, therefore we have the right to indentify ourselves as the heirs of the Angevin Empire.;;;;;;;;;;;;
french_kingdom_status_title;Take the title of King of France;;;;;;;;;;;;
french_kingdom_status_desc;Now that we have retaken the French duchies we can reorganize them into the Title of Kingdom of France, angering the Bourbons but also making us more likeable in the eyes of the population of the newly conquered territory.;;;;;;;;;;;;
english_expansion_title;Expand into England;;;;;;;;;;;;
english_expansion_desc;To better connect our territories we can use ambiguous maps and documents to claim a part of England.;;;;;;;;;;;;
claim_north_sea_title;Claim the Noord See;;;;;;;;;;;;
claim_north_sea_desc;Our low German borthers need to be under our controll;;;;;;;;;;;;
claim_low_germany_title;Claim Low Germany;;;;;;;;;;;;
claim_low_germany_desc;The Dutch and the low Germans are so closely related, we very well could be one people.Why not?We need to protect our brothers;;;;;;;;;;;;
unite_low_germany_title;Form Low Germany;;;;;;;;;;;;
unite_low_germany_desc;The Low Germans and the Dutch are finally united!;;;;;;;;;;;;
new_england_rename_usa_title;Rename Neu LÃ¼beck;;;;;;;;;;;;
new_england_rename_usa_desc;Now that we have taken back our rightful territories from the Germans, we should rename them to their proper French names.;;;;;;;;;;;;
new_england_rename_aki_title;Rename Nouvelle France;;;;;;;;;;;;
new_england_rename_aki_desc;Now that we have taken back our rightful territories from Amouldi Kingdom, we should rename them to their proper German names.;;;;;;;;;;;;
new_york_usa_title;Rename Nouvelle Paris;;;;;;;;;;;;
new_york_usa_desc;Now that we have taken back our rightful territories from the Germans, we should rename them to their proper French names.;;;;;;;;;;;;
new_york_aki_title;Rename Nouvelle Paris;;;;;;;;;;;;
new_york_aki_desc;Now that we have taken back our rightful territories from the Frenchies, we should rename them to their proper German names.;;;;;;;;;;;;
amauldi_change_capital_title;Change our capital to Baltimore;;;;;;;;;;;;
amauldi_change_capital_desc;Our captial city is too close to Akino-League this will cause us some problems if we're at war with them, we should move our capital a bit south.;;;;;;;;;;;;
gaelic_societies_title;The Gaelic Societies;;;;;;;;;;;;
gaelic_societies_desc;Many people are creating associations with the goal of conserving Gaelic language and culture. It's time to decide how to deal with the Gaelic issue;;;;;;;;;;;;
gaelic_english_bilinguism_title;Gaelic-English Bilinguism;;;;;;;;;;;;
gaelic_english_bilinguism_desc;Let's make Gaelic an official language of our nation alongside English. This will create some bureucratic problems in the first times but it will make easier for us to integrate the Gaelic populations of the North and it could be a test for an eventual union of the Celt people. Â§RThis is needed to form the Celtic UnionÂ§;;;;;;;;;;;;
gaelic_assimilation_title;Highlanders "assimilation";;;;;;;;;;;;
gaelic_assimilation_desc;The Gaelics are only troublemakers and they just obstacle our goals of greatness. We will inititate a plan to assimilate their culture on multiple fronts such as propaganda campaigns and forced separation of childrens from their families. Â§RThis is needed to form BritanniaÂ§;;;;;;;;;;;;
core_UOW_title;Reunification of England;;;;;;;;;;;;;
core_UOW_desc;With our devastated civil war concluded, we can finally proudly say we are the rightful government to rule England. It's time to reintegrate the seceded countries and purge all remnants of the Monarchists.;;;;;;;;;;;;;
core_UOW_title;Reunification of England;;;;;;;;;;;;;
core_ENL_desc;core_UOW_desc;With our devastated civil war concluded, we can finally proudly say we are the rightful government to rule England. It's time to reintegrate the seceded countries and purge all remnants of the Republicans.;;;;;;;;;;;;;
bul_claim_macedonia_title;Claim Macedonia;;;;;;;;;;;;
bul_claim_macedonia_desc;We have defeated the Ottomans and gained our independent, this shows us that we can fight them and now we'll take back our historic lands from them.;;;;;;;;;;;;
claim_greater_bulgaria_title;Form Greater Bulgaria;;;;;;;;;;;;
claim_greater_bulgaria_desc;We've carved a lot of land out of the Ottoman Empire, but we still lack integral part of our nation. Conquering them is the only way to reclaim our rightful place in Europe and restore the glory of our ancestors.;;;;;;;;;;;;
bulgaria_take_constantinople_title;Liberate Constantinople;;;;;;;;;;;;
bulgaria_take_constantinople_desc;Constantinople used to be a beacon of christianity, for both the catholic and orthodox faith. Sadly, the city fell in the hands of the infidel turks. We will take it back!;;;;;;;;;;;;
bul_claim_romania_albania_title;Restore the lands of the Frist Bulgarian Empire;;;;;;;;;;;;
bul_claim_romania_albania_desc;Our nation is now strong enough to compare itself to the mighty First Bulgarian Empire. We are going to claim back the lands that were once part of it, and nobody is going to be able to stop us!;;;;;;;;;;;;
King_Mezzogiorno_title;King of the Mezzogiorno;;;;;;;;;;;;
King_Mezzogiorno_desc;Since the death of the last member of House Bourbon-Naples in 1844, the throne of our kingdom remained empty. We should invite the most illustrious dynasties of the realm to partecipate in a great council, so we can discuss who shall become the new King of Naples.;;;;;;;;;;;;
ottoman_factories_title;Build factories in Kostantiniye;;;;;;;;;;;;
ottoman_factories_desc;We cannot stand behind our western Rivals. We shall construct Modern Manufacturies in our Capital, those that can rival the industrial copmlexes in Paris and Lubeck;;;;;;;;;;;;
coast_romans_title;Mare Nostrum;;;;;;;;;;;;
coast_romans_desc;The Partition of the Empire was a grave mistake-and today we will rectify that decision! Glory to Rome!;;;;;;;;;;;;
form_gewesten_title;Form Verenigde Gewesten;;;;;;;;;;;;
form_gewesten_desc;Gekkers nor Veldeuwers can stand alone. A house divided against itself cannot stand, and we shall be the ones that unite it!;;;;;;;;;;;;
french_renaissance_title;French Renaissance;;;;;;;;;;;;
french_renaissance_desc;The Ancien Regime has fallen-and our new government will rise like a Phoenix from its ashes. Already, regions are recognizing our rule and taxes are beginning to flow in. Now we can start on the long road for recovery! Vive la France!;;;;;;;;;;;;
buy_neu_mark_title;Buy Neumark;;;;;;;;;;;;
buy_neu_mark_desc;Neumark has been part of the Teutonic Order for ages-a sad relic of the Medieval past. As a exclave of their lands, the people suffer economically and politically. We shall send an offer of monetary compensation for those lands-not just for our benefit, but for their subjects too.;;;;;;;;;;;;
rem_core_occ_title;We are Seperate;;;;;;;;;;;;;
rem_core_occ_desc;A separate identity has risen during the war-A identity strictly non-French. We are not French, and we are proud of it!;;;;;;;;;;;;;
greater_saarland_title;Greater Saarland;;;;;;;;;;;;;
